Timestamp (h:m:s.ms.us.ns dur),Status,Data(h),ASCII,Parity Error,Stop Bit Error,Information,
="",="",="",="",="",="",="*** Capture Started"
="23:31:09.191.603.580 085.860us",="Tx",="00 00 27 8D 66 27 B2 E2 ",="..''.f''..",="",="",=""
="23:31:09.191.689.460 085.880us",="Tx",="00 00 00 00 00 00 00 00 ",="........",="",="",=""
="23:31:09.191.775.440 085.980us",="Tx",="00 00 00 17 16 2B D3 ",=".....+.",="",="",=""
="23:31:39.621.384.500 004.029ms",="Tx",="11 00 2A 14 00 14 11 FF ",="..* .....",="",="",=""
="23:31:39.621.470.440 085.940us",="Tx",="00 00 00 14 01 FF 00 00 ",="........",="",="",=""
="23:31:39.621.556.360 085.920us",="Tx",="EA 60 00 00 00 0A 00 00 ",=".`......",="",="",=""
="23:31:39.621.642.220 085.860us",="Tx",="00 00 27 8D 5F 27 B2 9A ",="..''._''..",="",="",=""
="23:31:39.621.728.180 085.960us (Feb-03-2024)",="Tx",="00 00 00 00 00 00 00 00 ",="........",="",="",=""
="23:31:39.621.814.260 086.080us",="Tx",="00 00 00 17 16 61 16 ",=".....a.",="",="",=""
="23:32:10.055.478.180 004.028ms",="Tx",="11 00 2A 15 00 15 11 FF ",="..* .....",="",="",=""
="23:32:10.055.564.100 085.920us",="Tx",="00 00 00 15 01 FF 00 00 ",="........",="",="",=""
="23:32:10.055.649.980 085.880us",="Tx",="EA 60 00 00 00 0A 00 00 ",=".`......",="",="",=""
="23:32:10.055.735.840 085.860us",="Tx",="00 00 27 8D 5F 27 B2 9A ",="..''._''..",="",="",=""
="23:32:10.055.821.720 085.880us",="Tx",="00 00 00 00 00 00 00 00 ",="........",="",="",=""
="23:32:10.055.907.700 085.980us",="Tx",="00 00 00 17 16 D5 44 ",="......D",="",="",=""
="23:32:40.495.430.980 004.867ms",="Tx",="11 00 2A 16 00 16 11 FF ",="..* .....",="",="",=""
="23:32:40.495.516.920 085.940us",="Tx",="00 00 00 16 01 FF 00 00 ",="........",="",="",=""
="23:32:40.495.602.860 085.940us",="Tx",="EA 60 00 00 00 0B 00 00 ",=".`......",="",="",=""
="23:32:40.495.688.720 085.860us",="Tx",="00 00 27 8D 81 27 B2 E0 ",="..''..''..",="",="",=""
="23:32:40.495.774.620 085.900us",="Tx",="00 00 00 00 00 00 00 00 ",="........",="",="",=""
="23:32:40.495.860.620 086.000us",="Tx",="00 00 00 17 16 30 EF ",=".....0.",="",="",=""
="23:33:10.932.267.340 004.029ms",="Tx",="11 00 2A 17 00 17 11 FF ",="..* .....",="",="",=""
="23:33:10.932.353.280 085.940us",="Tx",="00 00 00 17 01 FF 00 00 ",="........",="",="",=""
