Timestamp (h:m:s.ms.us.ns dur),Status,Data(h),ASCII,Parity Error,Stop Bit Error,Information,
="",="",="",="",="",="",="*** Capture Started"
="23:55:06.975.266.780 085.920us",="Tx",="EA 60 00 00 05 62 00 01 ",=".`...b..",="",="",=""
="23:55:06.975.352.740 085.960us (Mar-27-2024)",="Tx",="63 7F 27 8C 64 27 B1 73 ",="c.''.d''.s",="",="",=""
="23:55:06.975.438.680 085.940us",="Tx",="00 00 00 00 CA 60 E6 71 ",=".....`.q",="",="",=""
="23:55:06.975.524.820 086.140us",="Tx",="00 00 3C 18 17 EC 43 ",="..<...C",="",="",=""
="23:55:36.420.896.360 029.445s",="Tx",="11 00 2A FC 00 FC 10 AA ",="..* .....",="",="",=""
="23:55:36.420.982.460 086.100us",="Tx",="10 16 0B DB 11 FF 00 00 ",="........",="",="",=""
="23:55:36.421.068.400 085.940us",="Tx",="EA 60 00 00 05 63 00 01 ",=".`...c..",="",="",=""
="23:55:36.421.154.400 086.000us",="Tx",="63 BB 27 8C 54 27 B1 94 ",="c.''.T''..",="",="",=""
="23:55:36.421.240.400 086.000us",="Tx",="00 00 00 00 CA 60 E6 71 ",=".....`.q",="",="",=""
="23:55:36.421.326.500 086.100us",="Tx",="00 00 3C 18 17 FB 9F ",="..<....",="",="",=""
="23:56:05.867.932.120 029.446s",="Tx",="11 00 2A 1A 00 1A 10 AA ",="..* .....",="",="",=""
="23:56:05.868.018.180 086.060us",="Tx",="10 16 0B DC 11 FF 00 00 ",="........",="",="",=""
="23:56:05.868.104.080 085.900us",="Tx",="EA 60 00 00 05 63 00 01 ",=".`...c..",="",="",=""
="23:56:05.868.189.980 085.900us",="Tx",="63 BB 27 8C 54 27 B1 94 ",="c.''.T''..",="",="",=""
="23:56:05.868.275.920 085.940us",="Tx",="00 00 00 00 CA 60 E6 71 ",=".....`.q",="",="",=""
="23:56:05.868.362.000 086.080us",="Tx",="00 00 3C 18 17 65 CF ",="..<..e.",="",="",=""
="23:56:35.315.926.860 029.447s",="Tx",="11 00 2A 38 00 38 10 AA ",="..* 8.8..",="",="",=""
="23:56:35.316.012.920 086.060us",="Tx",="10 16 0B DD 11 FF 00 00 ",="........",="",="",=""
="23:56:35.316.098.840 085.920us",="Tx",="EA 60 00 00 05 64 00 01 ",=".`...d..",="",="",=""
="23:56:35.316.184.740 085.900us",="Tx",="63 F6 27 8C 68 27 B1 86 ",="c.''.h''..",="",="",=""
="23:56:35.316.270.640 085.900us",="Tx",="00 00 00 00 CA 60 E6 71 ",=".....`.q",="",="",=""
="23:56:35.316.356.740 086.100us (Mar-27-2024)",="Tx",="00 00 3C 18 17 47 4D ",="..<..GM",="",="",=""
="23:57:04.769.800.400 029.453s",="Tx",="11 00 2A 56 00 56 10 AA ",="..* V.V..",="",="",=""
="23:57:04.769.886.480 086.080us",="Tx",="10 16 0B DE 11 FF 00 00 ",="........",="",="",=""
="23:57:04.769.972.400 085.920us",="Tx",="EA 60 00 00 05 64 00 01 ",=".`...d..",="",="",=""
="23:57:04.770.058.340 085.940us",="Tx",="63 F6 27 8C 68 27 B1 86 ",="c.''.h''..",="",="",=""
="23:57:04.770.144.300 085.960us",="Tx",="00 00 00 00 CA 60 E6 71 ",=".....`.q",="",="",=""
="23:57:04.770.230.420 086.120us",="Tx",="00 00 3C 18 17 B3 67 ",="..<...g",="",="",=""
="23:57:34.222.011.380 029.451s",="Tx",="11 00 2A 74 00 74 10 AA ",="..* t.t..",="",="",=""
="23:57:34.222.097.540 086.160us",="Tx",="10 16 0B DF 11 FF 00 00 ",="........",="",="",=""
="23:57:34.222.183.480 085.940us",="Tx",="EA 60 00 00 05 65 00 01 ",=".`...e..",="",="",=""
="23:57:34.222.269.420 085.940us",="Tx",="64 31 27 8C 81 27 B1 7C ",="d1''..''.|",="",="",=""
="23:57:34.222.355.360 085.940us",="Tx",="00 00 00 00 CA 60 E6 71 ",=".....`.q",="",="",=""
="23:57:34.222.441.460 086.100us",="Tx",="00 00 3C 18 17 59 49 ",="..<..YI",="",="",=""
="23:58:03.669.672.080 029.447s",="Tx",="11 00 2A 92 00 92 10 AA ",="..* .....",="",="",=""
="23:58:03.669.758.180 086.100us",="Tx",="10 16 0B E0 11 FF 00 00 ",="........",="",="",=""
="23:58:03.669.844.080 085.900us",="Tx",="EA 60 00 00 05 65 00 01 ",=".`...e..",="",="",=""
