Timestamp (h:m:s.ms.us.ns dur),Status,Data(h),ASCII,Parity Error,Stop Bit Error,Information,
="",="",="",="",="",="",="*** Capture Started"
="11:27:09.407.816.600 085.920us",="Tx",="EA 60 FF BC AF 01 00 00 ",=".`......",="",="",=""
="11:27:09.407.902.560 085.960us",="Tx",="00 00 00 00 00 00 00 00 ",="........",="",="",=""
="11:27:09.407.988.560 086.000us",="Tx",="00 00 00 00 FF ED EF FF ",="........",="",="",=""
="11:27:09.408.074.680 086.120us",="Tx",="00 F5 00 18 17 69 A3 ",=".....i.",="",="",=""
="11:27:39.863.582.340 030.455s",="Tx",="11 00 2A 0B 00 0B 10 00 ",="..* .....",="",="",=""
="11:27:39.863.668.300 085.960us",="Tx",="10 16 28 15 36 FF 00 00 ",="..(.6...",="",="",=""
="11:27:39.863.754.260 085.960us",="Tx",="EA 60 FF BC AF 03 00 00 ",=".`......",="",="",=""
="11:27:39.863.840.180 085.920us",="Tx",="00 00 00 00 00 00 00 00 ",="........",="",="",=""
="11:27:39.863.926.080 085.900us",="Tx",="00 00 00 00 FF ED EF FF ",="........",="",="",=""
="11:27:39.864.012.140 086.060us",="Tx",="00 F6 01 18 17 1D 29 ",="......)",="",="",=""
="11:28:10.325.100.520 030.461s (Feb-19-2024)",="Tx",="11 00 2A 2A 00 2A 10 00 ",="..* * .* ..",="",="",=""
="11:28:10.325.186.460 085.940us",="Tx",="10 16 28 16 36 FF 00 00 ",="..(.6...",="",="",=""
="11:28:10.325.272.420 085.960us",="Tx",="EA 60 FF BC AF 03 00 00 ",=".`......",="",="",=""
="11:28:10.325.358.280 085.860us",="Tx",="00 00 00 00 00 00 00 00 ",="........",="",="",=""
="11:28:10.325.444.180 085.900us",="Tx",="00 00 00 00 FF ED EF FF ",="........",="",="",=""
="11:28:10.325.530.200 086.020us",="Tx",="00 F6 01 18 17 DF 55 ",="......U",="",="",=""
="11:28:40.788.684.160 030.463s",="Tx",="11 00 2A 0D 00 0D 10 00 ",="..* .....",="",="",=""
="11:28:40.788.770.120 085.960us",="Tx",="10 16 28 17 37 FF 00 00 ",="..(.7...",="",="",=""
="11:28:40.788.856.060 085.940us",="Tx",="EA 60 FF BC AF 05 00 00 ",=".`......",="",="",=""
="11:28:40.788.941.940 085.880us",="Tx",="00 00 00 00 00 00 00 00 ",="........",="",="",=""
="11:28:40.789.027.860 085.920us",="Tx",="00 00 00 00 FF ED EF FF ",="........",="",="",=""
="11:28:40.789.113.880 086.020us",="Tx",="00 F7 02 18 17 D4 42 ",="......B",="",="",=""
="11:29:11.251.217.320 030.462s",="Tx",="11 00 2A 2C 00 2C 10 00 ","..* ,.,..",="",="",=""
="11:29:11.251.303.220 085.900us",="Tx",="10 16 28 18 37 FF 00 00 ",="..(.7...",="",="",=""
="11:29:11.251.389.140 085.920us",="Tx",="EA 60 FF BC AF 05 00 00 ",=".`......",="",="",=""
="11:29:11.251.475.000 085.860us",="Tx",="00 00 00 00 00 00 00 00 ",="........",="",="",=""
="11:29:11.251.560.900 085.900us",="Tx",="00 00 00 00 FF ED EF FF ",="........",="",="",=""
="11:29:11.251.646.920 086.020us",="Tx",="00 F7 02 18 17 E7 44 ",="......D",="",="",=""
="11:29:41.714.207.120 030.462s",="Tx",="11 00 2A 0F 00 0F 10 00 ",="..* .....",="",="",=""
="11:29:41.714.293.020 085.900us",="Tx",="10 16 28 19 38 FF 00 00 ",="..(.8...",="",="",=""
="11:29:41.714.378.900 085.880us",="Tx",="EA 60 FF BC AF 07 00 00 ",=".`......",="",="",=""
="11:29:41.714.464.760 085.860us",="Tx",="00 00 00 00 00 00 00 00 ",="........",="",="",=""
="11:29:41.714.550.640 085.880us",="Tx",="00 00 00 00 FF ED EF FF ",="........",="",="",=""
="11:29:41.714.636.660 086.020us",="Tx",="00 F8 03 18 17 6F 76 ",=".....ov",="",="",=""
="11:30:12.179.367.500 030.464s",="Tx",="11 00 2A 2E 00 2E 10 00 ",="..* .....",="",="",=""
="11:30:12.179.453.480 085.980us",="Tx",="10 16 28 1A 38 FF 00 00 ",="..(.8...",="",="",=""
="11:30:12.179.539.440 085.960us",="Tx",="EA 60 FF BC AF 07 00 00 ",=".`......",="",="",=""
="11:30:12.179.625.360 085.920us",="Tx",="00 00 00 00 00 00 00 00 ",="........",="",="",=""
="11:30:12.179.711.280 085.920us",="Tx",="00 00 00 00 FF ED EF FF ",="........",="",="",=""
="11:30:12.179.797.340 086.060us",="Tx",="00 F8 03 18 17 AD 0A ",=".......",="",="",=""
="11:30:42.637.943.800 030.458s",="Tx",="11 00 2A 12 00 12 10 00 ",="..* .....",="",="",=""
="11:30:42.638.029.780 085.980us",="Tx",="10 16 28 1B 39 FF 00 00 ",="..(.9...",="",="",=""
="11:30:42.638.115.720 085.940us",="Tx",="EA 60 FF BC AF 09 00 00 ",=".`......",="",="",=""
="11:30:42.638.201.600 085.880us",="Tx",="00 00 00 00 00 00 00 00 ",="........",="",="",=""
="11:30:42.638.287.500 085.900us",="Tx",="00 00 00 00 FF ED EF FF ",="........",="",="",=""
="11:30:42.638.373.540 086.040us (Feb-19-2024)",="Tx",="00 F9 04 18 17 5E D6 ",=".....^.",="",="",=""
="11:31:13.097.460.920 030.459s",="Tx",="11 00 2A 31 00 31 10 00 ",="..* 1.1..",="",="",=""
="11:31:13.097.546.900 085.980us",="Tx",="10 16 28 1C 39 FF 00 00 ",="..(.9...",="",="",=""
="11:31:13.097.632.840 085.940us",="Tx",="EA 60 FF BC AF 09 00 00 ",=".`......",="",="",=""
="11:31:13.097.718.740 085.900us",="Tx",="00 00 00 00 00 00 00 00 ",="........",="",="",=""
="11:31:13.097.804.680 085.940us",="Tx",="00 00 00 00 FF ED EF FF ",="........",="",="",=""
