Timestamp (h:m:s.ms.us.ns dur),Status,Data(h),ASCII,Parity Error,Stop Bit Error,Information,
="",="",="",="",="",="",="*** Capture Started"
="09:12:25.535.718.080 086.420us",="Tx",="00 0E 23 E3 4A 22 A9 92 ",="..#.J""..",="",="",=""
="09:12:25.535.804.480 086.400us",="Tx",="00 00 00 00 00 00 00 0E ",="........",="",="",=""
="09:12:25.535.890.900 086.420us",="Tx",="00 00 00 1A 18 6E BD ",=".....n.",="",="",=""
="09:12:26.565.728.840 006.151ms",="Tx",="11 00 2A 52 00 52 10 FF ",="..* R.R..",="",="",=""
="09:12:26.565.815.180 086.340us",="Tx",="00 00 00 61 02 FF 00 00 ",="...a....",="",="",=""
="09:12:26.565.901.520 086.340us",="Tx",="3A 99 00 00 00 16 00 00 ",=":.......",="",="",=""
="09:12:26.565.987.860 086.340us",="Tx",="00 0E 23 E3 4A 22 A9 92 ",="..#.J""..",="",="",=""
="09:12:26.566.074.220 086.360us",="Tx",="00 00 00 00 00 00 00 0E ",="........",="",="",=""
="09:12:26.566.160.540 086.320us",="Tx",="00 00 00 1A 18 A2 76 ",="......v",="",="",=""
="09:12:27.595.922.180 006.326ms",="Tx",="11 00 2A 54 00 54 10 FF ",="..* T.T..",="",="",=""
="09:12:27.596.008.540 086.360us",="Tx",="00 00 00 62 02 FF 00 00 ",="...b....",="",="",=""
="09:12:27.596.094.880 086.340us",="Tx",="3A 99 00 00 00 16 00 00 ",=":.......",="",="",=""
="09:12:27.596.181.220 086.340us",="Tx",="00 0E 23 E3 4A 22 A9 92 ",="..#.J""..",="",="",=""
="09:12:27.596.267.580 086.360us",="Tx",="00 00 00 00 00 00 00 0E ",="........",="",="",=""
="09:12:27.596.353.960 086.380us",="Tx",="00 00 00 1A 18 E7 0A ",=".......",="",="",=""
="09:12:28.626.122.520 006.437ms",="Tx",="11 00 2A 56 00 56 10 FF ",="..* V.V..",="",="",=""
="09:12:28.626.208.840 086.320us",="Tx",="00 00 00 63 02 FF 00 00 ",="...c....",="",="",=""
="09:12:28.626.295.180 086.340us",="Tx",="3A 99 00 00 00 16 00 00 ",=":.......",="",="",=""
="09:12:28.626.381.520 086.340us",="Tx",="00 0E 23 E3 4A 22 A9 92 ",="..#.J""..",="",="",=""
="09:12:28.626.467.840 086.320us",="Tx",="00 00 00 00 00 00 00 0E ",="........",="",="",=""
="09:12:28.626.554.180 086.340us",="Tx",="00 00 00 1A 18 2B C1 ",=".....+.",="",="",=""
="09:12:29.656.353.220 006.494ms",="Tx",="11 00 2A 58 00 58 10 FF ",="..* X.X..",="",="",=""
="09:12:29.656.439.580 086.360us",="Tx",="00 00 00 64 02 FF 00 00 ",="...d....",="",="",=""
="09:12:29.656.525.940 086.360us",="Tx",="3A 99 00 00 00 16 00 00 ",=":.......",="",="",=""
="09:12:29.656.612.300 086.360us",="Tx",="00 0E 23 E3 4A 22 A9 92 ",="..#.J""..",="",="",=""
="09:12:29.656.698.620 086.320us",="Tx",="00 00 00 00 00 00 00 0E ",="........",="",="",=""
="09:12:29.656.785.000 086.380us",="Tx",="00 00 00 1A 18 6D F2 ",=".....m.",="",="",=""
="09:12:30.684.104.540 004.081ms",="Tx",="11 00 2A 5A 00 5A 10 FF ",="..* Z.Z..",="",="",=""
="09:12:30.684.190.880 086.340us",="Tx",="00 00 00 65 02 FF 00 00 ",="...e....",="",="",=""
="09:12:30.684.277.220 086.340us",="Tx",="3A 99 00 00 00 16 00 00 ",=":.......",="",="",=""
="09:12:30.684.363.580 086.360us",="Tx",="00 0E 23 E3 4A 22 A9 92 ",="..#.J""..",="",="",=""
="09:12:30.684.449.940 086.360us",="Tx",="00 00 00 00 00 00 00 0E ",="........",="",="",=""
="09:12:30.684.536.320 086.380us",="Tx",="00 00 00 1A 18 A1 39 ",="......9",="",="",=""
="09:12:31.714.206.260 004.080ms",="Tx",="11 00 2A 5C 00 5C 10 FF ",="..* \.\..",="",="",=""
="09:12:31.714.292.600 086.340us",="Tx",="00 00 00 66 02 FF 00 00 ",="...f....",="",="",=""
="09:12:31.714.378.940 086.340us",="Tx",="3A 99 00 00 00 16 00 00 ",=":.......",="",="",=""
="09:12:31.714.465.260 086.320us",="Tx",="00 0E 23 E3 4A 22 A9 92 ",="..#.J""..",="",="",=""
="09:12:31.714.551.580 086.320us",="Tx",="00 00 00 00 00 00 00 0E ",="........",="",="",=""
="09:12:31.714.637.920 086.340us",="Tx",="00 00 00 1A 18 E4 45 ",="......E",="",="",=""
="09:12:32.744.367.100 004.083ms",="Tx",="11 00 2A 5E 00 5E 10 FF ",="..* ^.^..",="",="",=""
="09:12:32.744.453.500 086.400us",="Tx",="00 00 00 67 02 FF 00 00 ",="...g....",="",="",=""
="09:12:32.744.539.900 086.400us",="Tx",="3A 99 00 00 00 16 00 00 ",=":.......",="",="",=""
="09:12:32.744.626.280 086.380us",="Tx",="00 0E 23 E3 4A 22 A9 92 ",="..#.J""..",="",="",=""
="09:12:32.744.712.700 086.420us",="Tx",="00 00 00 00 00 00 00 0E ",="........",="",="",=""
="09:12:32.744.799.100 086.400us",="Tx",="00 00 00 1A 18 28 8E ",=".....(.",="",="",=""
="09:12:33.774.743.000 004.081ms",="Tx",="11 00 2A 60 00 60 10 FF ",="..* `.`..",="",="",=""
="09:12:33.774.829.360 086.360us",="Tx",="00 00 00 68 02 FF 00 00 ",="...h....",="",="",=""
="09:12:33.774.915.700 086.340us",="Tx",="3A 99 00 00 00 16 00 00 ",=":.......",="",="",=""
="09:12:33.775.002.060 086.360us",="Tx",="00 0E 23 E3 4A 22 A9 92 ",="..#.J""..",="",="",=""
="09:12:33.775.088.420 086.360us",="Tx",="00 00 00 00 00 00 00 0E ",="........",="",="",=""
="09:12:33.775.174.780 086.360us",="Tx",="00 00 00 1A 18 36 66 ",=".....6f",="",="",=""
="09:12:34.804.963.020 004.083ms",="Tx",="11 00 2A 62 00 62 10 FF ",="..* b.b..",="",="",=""
="09:12:34.805.049.420 086.400us",="Tx",="00 00 00 69 02 FF 00 00 ",="...i....",="",="",=""
="09:12:34.805.135.800 086.380us",="Tx",="3A 99 00 00 00 16 00 00 ",=":.......",="",="",=""
="09:12:34.805.222.200 086.400us",="Tx",="00 0E 23 E3 4A 22 A9 92 ",="..#.J""..",="",="",=""
="09:12:34.805.308.600 086.400us",="Tx",="00 00 00 00 00 00 00 0E ",="........",="",="",=""
