17:01:51.836.493.320 086.100us,Tx,00 00 00 04 01 14 A7 ,.......,,,
17:01:52.866.591.940 005.129ms,Tx,11 00 2A A6 08 AE 10 2D ,..* ....-,,,
17:01:52.866.678.060 086.120us,Tx,00 00 6C 50 01 FF 00 00 ,..lP....,,,
17:01:52.866.764.160 086.100us,Tx,3A 99 00 00 06 D2 00 00 ,:.......,,,
17:01:52.866.850.300 086.140us,Tx,62 42 23 DF EF 22 AB 05 ,"bB#..""..",,,
17:01:52.866.936.420 086.120us,Tx,00 00 00 00 00 00 00 00 ,........,,,
17:01:52.867.022.560 086.140us,Tx,00 00 00 04 01 52 04 ,.....R.,,,
17:01:53.897.225.840 005.377ms,Tx,11 00 2A A8 08 B0 10 2D ,..* ....-,,,
17:01:53.897.311.920 086.080us,Tx,00 00 6C 51 01 FF 00 00 ,..lQ....,,,
17:01:53.897.398.000 086.080us,Tx,3A 99 00 00 06 D2 00 00 ,:.......,,,
17:01:53.897.484.060 086.060us,Tx,62 42 23 DF EF 22 AB 05 ,"bB#..""..",,,
17:01:53.897.570.160 086.100us,Tx,00 00 00 00 00 00 00 00 ,........,,,
17:01:53.897.656.260 086.100us,Tx,00 00 00 04 01 67 04 ,.....g.,,,
17:01:54.927.750.080 005.511ms,Tx,11 00 2A AA 08 B2 10 2D ,..* ....-,,,
17:01:54.927.836.220 086.140us,Tx,00 00 6C 52 01 FF 00 00 ,..lR....,,,
17:01:54.927.922.320 086.100us,Tx,3A 99 00 00 06 D2 00 00 ,:.......,,,
17:01:54.928.008.440 086.120us,Tx,62 42 23 DF EF 22 AB 05 ,"bB#..""..",,,
17:01:54.928.094.560 086.120us,Tx,00 00 00 00 00 00 00 00 ,........,,,
17:01:54.928.180.680 086.120us,Tx,00 00 00 04 01 83 A4 ,.......,,,
17:01:55.958.238.360 005.647ms,Tx,11 00 2A AC 08 B4 10 2D ,..* ....-,,,
17:01:55.958.324.440 086.080us,Tx,00 00 6C 53 01 FF 00 00 ,..lS....,,,
17:01:55.958.410.540 086.100us,Tx,3A 99 00 00 06 D2 00 00 ,:.......,,,
17:01:55.958.496.620 086.080us,Tx,62 42 23 DF EF 22 AB 05 ,"bB#..""..",,,
17:01:55.958.582.700 086.080us,Tx,00 00 00 00 00 00 00 00 ,........,,,
17:01:55.958.668.820 086.120us,Tx,00 00 00 04 01 EE B3 ,.......,,,
17:01:56.988.697.860 005.944ms,Tx,11 00 2A AE 08 B6 10 2D ,..* ....-,,,
17:01:56.988.783.960 086.100us,Tx,00 00 6C 54 01 FF 00 00 ,..lT....,,,
17:01:56.988.870.080 086.120us,Tx,3A 99 00 00 06 D2 00 00 ,:.......,,,
17:01:56.988.956.200 086.120us,Tx,62 42 23 DF EF 22 AB 05 ,"bB#..""..",,,
17:01:56.989.042.300 086.100us,Tx,00 00 00 00 00 00 00 00 ,........,,,
17:01:56.989.128.400 086.100us,Tx,00 00 00 04 01 5A C5 ,.....Z.,,,
17:01:58.019.121.200 006.107ms,Tx,11 00 2A B0 08 B8 10 2D ,..* ....-,,,
17:01:58.019.207.280 086.080us,Tx,00 00 6C 55 01 FF 00 00 ,..lU....,,,
17:01:58.019.293.360 086.080us,Tx,3A 99 00 00 06 D2 00 00 ,:.......,,,
17:01:58.019.379.440 086.080us,Tx,62 42 23 DF EF 22 AB 05 ,"bB#..""..",,,
17:01:58.019.465.540 086.100us,Tx,00 00 00 00 00 00 00 00 ,........,,,
17:01:58.019.551.620 086.080us,Tx,00 00 00 04 01 C8 F7 ,.......,,,
17:01:59.049.829.980 006.391ms,Tx,11 00 2A B2 08 BA 10 2D ,..* ....-,,,
17:01:59.049.916.080 086.100us,Tx,00 00 6C 56 01 FF 00 00 ,..lV....,,,
17:01:59.050.002.180 086.100us,Tx,3A 99 00 00 06 D3 00 00 ,:.......,,,
17:01:59.050.088.280 086.100us,Tx,00 0D 23 E0 0B 22 AA E2 ,"..#..""..",,,
17:01:59.050.174.380 086.100us,Tx,00 00 00 00 00 00 00 00 ,........,,,
17:01:59.050.260.480 086.100us,Tx,00 00 00 04 01 F0 71 ,......q,,,
17:02:00.080.074.060 006.228ms,Tx,11 00 2A B4 08 BC 10 2D ,..* ....-,,,
17:02:00.080.160.160 086.100us,Tx,00 00 6C 57 01 FF 00 00 ,..lW....,,,
17:02:00.080.246.260 086.100us,Tx,3A 99 00 00 06 D3 00 00 ,:.......,,,
